id;order_code;order_date;status;total_amount
1;mid abaft;2026-06-23T21:06:20;PENDING;23439.51
2;ouch aha fooey;2026-06-23T21:04:49;SHIPPED;22486.28
3;once whereas;2026-06-24T20:23:59;CONFIRMED;30379.19
4;aha;2026-06-24T00:09:29;DELIVERED;14754.27
5;as nightlife verify;2026-06-24T05:03:19;SHIPPED;6940.91
6;ah investigate far;2026-06-24T16:30:43;CONFIRMED;26896.18
7;that after fledgling;2026-06-24T09:05:32;SHIPPED;21387.97
8;coordinated;2026-06-24T07:21:56;SHIPPED;5285.43
9;whether hm outrun;2026-06-24T17:50:11;CONFIRMED;26407.35
10;upward prudent;2026-06-24T20:03:43;CONFIRMED;27000.97
11;alongside physically whether;2026-06-24T08:23:27;SHIPPED;32734.83
12;mmm clamp;2026-06-24T05:47:47;DELIVERED;12305.14
13;as a whenever;2026-06-24T11:16:06;CANCELLED;11844.68
14;gadzooks;2026-06-23T22:30:12;DELIVERED;3738.52
15;soon pfft or;2026-06-24T08:56:49;SHIPPED;20723.89
16;fantastic;2026-06-24T09:11:26;DELIVERED;28553.02
17;authorized claw;2026-06-24T05:13:18;CANCELLED;31644.11
18;secularize square onto;2026-06-24T03:46:12;PENDING;9311.18
19;exempt knottily;2026-06-24T16:55:51;DELIVERED;26241.19
20;while athwart;2026-06-24T10:14:48;SHIPPED;18932.51
21;nightlife versus after;2026-06-24T08:41:19;CONFIRMED;28124.08
22;plastic;2026-06-24T13:11:06;CONFIRMED;14016.45
23;cautiously er;2026-06-24T16:14:56;CONFIRMED;29495.47
24;gummy;2026-06-24T20:30:05;PENDING;28976.49
25;thin once;2026-06-24T17:02:22;SHIPPED;5688.24
26;embalm onto;2026-06-24T09:19:36;CONFIRMED;30474.51
27;windy moisten;2026-06-24T14:59:19;CONFIRMED;720.87
28;nor;2026-06-24T03:30:37;SHIPPED;3355.93
29;pantyhose singe fragrant;2026-06-24T15:49:01;CONFIRMED;6810.36
30;when sans aside;2026-06-24T18:37:03;CONFIRMED;23971.69
