id;name;length;width;extra_price
1;atop;2167.06;5734.55;16707.74
2;bravely whoever eek;13224.48;26575.69;11903.78
3;impartial chasuble intermesh;28177.6;8484.26;21070.84
4;phony;13659.33;20091.03;31148.25
5;against woot of;29384.68;32376.14;18060.21
6;tight;31543.54;26895.69;10737.18
7;serpentine afford;19917.56;27999.32;4669.86
8;immediately crossly enormously;29664.54;11625.94;8285.65
9;till for;11892.77;16842.53;31207
10;cheese;24339.06;16336.97;25523.16
11;however eternity;14641.31;16960.4;16292.21
12;once barring;20852.85;10034.94;6030.45
13;finished following;922.2;17831.76;26387.18
14;remark tragic versus;10392.57;4287.64;15332.63
15;keenly;24878.58;26511.34;1770.83
16;psst;9872.88;6885.87;17603
17;huddle brr without;1432.09;4834.57;11936.37
18;whereas institutionalize deduce;683.6;25330.58;4846.41
19;hmph;13236.78;19535.82;11499.03
20;once;30887.69;12088.73;28652.57
21;quietly independence deceivingly;24781.23;314.67;23054.76
22;achieve phew;28991.76;31349.24;18546.29
23;oil however solidly;17423.79;32678.53;25645.35
24;nor;10488.54;2496.36;10463.58
25;yuck following;16796.16;27141.59;20049.7
26;hydrolyze;19475.33;27148.75;11411.2
27;upon ick;16726.5;723.98;6713.32
28;ravage aha;28912.05;22625.94;10658.79
29;enthusiastically beautifully if;18673.67;26346.98;10172.48
30;physically;22936.74;7233.7;31433.92
