id;quantity;size_type;custom_length;custom_width;price
1;10549;DEFAULT;27883.52;1821.15;24993.07
2;25265;CUSTOM;2984.04;4260.28;28169.75
3;12163;CUSTOM;9763.66;32312.19;14075.8
4;32565;DEFAULT;4617.86;29572.4;1084.44
5;16248;CUSTOM;21262.07;20271.31;18523.09
6;192;DEFAULT;27460.05;22062.38;31895.53
7;1031;DEFAULT;12849.82;22962.72;23661.48
8;8307;DEFAULT;28880.8;7980.97;31788.08
9;2823;DEFAULT;13329.47;7646.41;3547.2
10;19899;DEFAULT;25170.3;18737.69;9046.6
11;8303;CUSTOM;8087.46;22806.16;26752.84
12;5427;DEFAULT;17597.51;16019.9;29234.88
13;24813;CUSTOM;14267.59;29780.96;20427.89
14;19094;DEFAULT;18431.05;27839.02;26810.44
15;2563;DEFAULT;5820.3;693.53;31106.65
16;4675;DEFAULT;6632.41;19597.74;17928.59
17;10472;DEFAULT;31766.44;25955.48;4329.07
18;24516;CUSTOM;7533.13;26774.39;8689.98
19;5365;CUSTOM;6646.41;19069.03;627.83
20;304;CUSTOM;32023.53;1197.69;21723.13
21;26040;CUSTOM;12234.32;14028.97;25663.77
22;26372;DEFAULT;12747.77;28749.78;23504.19
23;31961;CUSTOM;13812.64;23474.75;16083.38
24;1048;CUSTOM;29978.36;12037.9;28102.21
25;25681;CUSTOM;1558.86;30404.59;19829.04
26;12949;CUSTOM;8313.2;26633.49;20058.59
27;4688;CUSTOM;923.3;5874.38;14907.08
28;8896;DEFAULT;8267.29;17100.77;28673.21
29;26742;DEFAULT;19956.08;15673.73;17435.74
30;23667;CUSTOM;31519.19;13623.04;14826.44
