id;name;description;material;base_price
1;juicy;../fake-data/blob/hipster.txt;coarse;2898.58
2;league divert consequently;../fake-data/blob/hipster.txt;sad unwilling from;9867.44
3;mortally;../fake-data/blob/hipster.txt;indelible fooey easily;14958.85
4;woot shrilly questionably;../fake-data/blob/hipster.txt;provided outbid blossom;13573.41
5;athletic teeming before;../fake-data/blob/hipster.txt;carpool without promise;10757.16
6;blindly excluding pish;../fake-data/blob/hipster.txt;vague;8068.53
7;similar;../fake-data/blob/hipster.txt;woot for grown;2714.17
8;rot yowza if;../fake-data/blob/hipster.txt;brush psst internal;11704.73
9;inside enormously;../fake-data/blob/hipster.txt;if bah;17072.62
10;though exotic godfather;../fake-data/blob/hipster.txt;cow;22076.66
11;meanwhile while;../fake-data/blob/hipster.txt;while gadzooks;9100
12;past velvety;../fake-data/blob/hipster.txt;avalanche;29491.33
13;often because;../fake-data/blob/hipster.txt;because;4162.5
14;till and fibre;../fake-data/blob/hipster.txt;apropos minus solution;22961.77
15;ugh;../fake-data/blob/hipster.txt;bourgeoisie;18583.7
16;hubris digestive;../fake-data/blob/hipster.txt;insist;3930.63
17;worth thump;../fake-data/blob/hipster.txt;opposite busily;7603.09
18;by depot angle;../fake-data/blob/hipster.txt;ouch;12741.45
19;representation;../fake-data/blob/hipster.txt;step-mother since;26991.18
20;economise embalm;../fake-data/blob/hipster.txt;at;12889.77
21;profuse;../fake-data/blob/hipster.txt;muffled;3756.07
22;mature ew flat;../fake-data/blob/hipster.txt;gracefully;26654.35
23;concerned;../fake-data/blob/hipster.txt;wherever wherever;1216.16
24;frightened scrape trivial;../fake-data/blob/hipster.txt;ack;14645.58
25;after yearn;../fake-data/blob/hipster.txt;after;21252.79
26;persecute;../fake-data/blob/hipster.txt;what dearly censor;13497.77
27;terraform;../fake-data/blob/hipster.txt;ceramics ew;1718.5
28;below sudden along;../fake-data/blob/hipster.txt;even meanwhile ugh;30418.73
29;mysteriously;../fake-data/blob/hipster.txt;dimly pro biodegradable;1116.8
30;opposite;../fake-data/blob/hipster.txt;unabashedly;28455.36
